"id";"strategy";"date";"total";"passed"
1;"PriceRate";"2000-09-27 00:00:00";1.0;0.0
2;"PriceRate";"2001-09-22 00:00:00";25.0;8.0
3;"PriceRate";"2001-12-21 00:00:00";39.0;9.0
4;"PriceRate";"2002-03-21 00:00:00";19.0;12.0
5;"PriceRate";"2002-06-19 00:00:00";49.0;49.0
6;"PriceRate";"2002-09-17 00:00:00";34.0;20.0
7;"PriceRate";"2002-12-16 00:00:00";149.0;148.0
8;"PriceRate";"2003-03-16 00:00:00";89.0;83.0
9;"PriceRate";"2003-06-14 00:00:00";108.0;31.0
10;"PriceRate";"2003-09-12 00:00:00";250.0;104.0
11;"PriceRate";"2003-12-11 00:00:00";370.0;205.0
12;"PriceRate";"2004-03-10 00:00:00";201.0;200.0
13;"PriceRate";"2004-06-08 00:00:00";272.0;57.0
14;"PriceRate";"2004-09-06 00:00:00";627.0;626.0
15;"PriceRate";"2004-12-05 00:00:00";539.0;150.0
16;"PriceRate";"2005-03-05 00:00:00";656.0;594.0
17;"PriceRate";"2005-06-03 00:00:00";954.0;948.0
18;"PriceRate";"2005-09-01 00:00:00";829.0;814.0
19;"PriceRate";"2005-11-30 00:00:00";838.0;610.0
20;"PriceRate";"2006-02-28 00:00:00";695.0;492.0
21;"PriceRate";"2006-05-29 00:00:00";414.0;404.0
22;"PriceRate";"2006-08-27 00:00:00";400.0;387.0
23;"PriceRate";"2006-11-25 00:00:00";353.0;344.0
24;"PriceRate";"2007-02-23 00:00:00";23.0;23.0
25;"PriceRate";"2007-11-20 00:00:00";1.0;1.0
26;"PriceRate";"2008-05-18 00:00:00";18.0;4.0
27;"PriceRate";"2008-08-16 00:00:00";371.0;368.0
28;"PriceRate";"2008-11-14 00:00:00";907.0;904.0
29;"PriceRate";"2009-02-12 00:00:00";128.0;126.0
30;"PriceRate";"2009-05-13 00:00:00";17.0;15.0
31;"PriceRate";"2010-05-08 00:00:00";14.0;11.0
32;"PriceRate";"2010-08-06 00:00:00";8.0;5.0
33;"PriceRate";"2010-11-04 00:00:00";3.0;3.0
34;"PriceRate";"2011-02-02 00:00:00";11.0;11.0
35;"PriceRate";"2011-05-03 00:00:00";22.0;16.0
36;"PriceRate";"2011-08-01 00:00:00";75.0;43.0
37;"PriceRate";"2011-10-30 00:00:00";124.0;119.0
38;"PriceRate";"2012-01-28 00:00:00";337.0;336.0
39;"PriceRate";"2012-04-27 00:00:00";194.0;176.0
40;"PriceRate";"2012-07-26 00:00:00";480.0;399.0
41;"PriceRate";"2012-10-24 00:00:00";445.0;214.0
42;"PriceRate";"2013-01-22 00:00:00";307.0;273.0
43;"PriceRate";"2013-04-22 00:00:00";356.0;283.0
44;"PriceRate";"2013-07-21 00:00:00";561.0;554.0
45;"PriceRate";"2013-10-19 00:00:00";292.0;135.0
46;"PriceRate";"2014-01-17 00:00:00";355.0;350.0
47;"PriceRate";"2014-04-17 00:00:00";245.0;126.0
48;"PriceRate";"2014-07-16 00:00:00";263.0;259.0
49;"PriceRate";"2014-10-14 00:00:00";80.0;64.0
50;"PriceRate";"2015-01-12 00:00:00";27.0;20.0
51;"PriceRate";"2015-04-12 00:00:00";4.0;4.0
52;"PriceRate";"2015-07-11 00:00:00";66.0;55.0
53;"PriceRate";"2015-10-09 00:00:00";99.0;99.0
54;"PriceRate";"2016-01-07 00:00:00";38.0;34.0
55;"PriceRate";"2016-04-06 00:00:00";56.0;44.0
56;"PriceRate";"2016-07-05 00:00:00";137.0;126.0
57;"PriceRate";"2016-10-03 00:00:00";124.0;110.0
58;"PriceRate";"2017-01-01 00:00:00";108.0;87.0
59;"PriceRate";"2017-04-01 00:00:00";89.0;50.0
60;"PriceRate";"2017-06-30 00:00:00";262.0;229.0
61;"PriceRate";"2017-09-28 00:00:00";222.0;210.0
62;"PriceRate";"2017-12-27 00:00:00";387.0;367.0
63;"PriceRate";"2018-03-27 00:00:00";523.0;417.0
64;"PriceRate";"2018-06-25 00:00:00";1008.0;903.0
65;"PriceRate";"2018-09-23 00:00:00";1140.0;421.0
66;"PriceRate";"2018-12-22 00:00:00";1294.0;1024.0
67;"PriceRate";"2019-03-22 00:00:00";610.0;540.0
154;"PriceRate";"2000-01-01 00:00:00";0.0;0.0
155;"PriceRate";"2000-03-31 00:00:00";0.0;0.0
156;"PriceRate";"2000-06-29 00:00:00";0.0;0.0
157;"PriceRate";"2000-12-26 00:00:00";0.0;0.0
158;"PriceRate";"2001-03-26 00:00:00";0.0;0.0
159;"PriceRate";"2001-06-24 00:00:00";0.0;0.0
160;"PriceRate";"2007-05-24 00:00:00";0.0;0.0
161;"PriceRate";"2007-08-22 00:00:00";0.0;0.0
162;"PriceRate";"2008-02-18 00:00:00";0.0;0.0
163;"PriceRate";"2009-08-11 00:00:00";0.0;0.0
164;"PriceRate";"2009-11-09 00:00:00";0.0;0.0
165;"PriceRate";"2010-02-07 00:00:00";0.0;0.0
166;"GrowSpeed";"2000-01-01 00:00:00";0.0;0.0
167;"GrowSpeed";"2000-03-31 00:00:00";785.0;665.0
168;"GrowSpeed";"2000-06-29 00:00:00";757.0;600.0
169;"GrowSpeed";"2000-09-27 00:00:00";693.0;618.0
170;"GrowSpeed";"2000-12-26 00:00:00";778.0;650.0
171;"GrowSpeed";"2001-03-26 00:00:00";744.0;699.0
172;"GrowSpeed";"2001-06-24 00:00:00";742.0;448.0
173;"GrowSpeed";"2001-09-22 00:00:00";472.0;117.0
174;"GrowSpeed";"2001-12-21 00:00:00";295.0;151.0
175;"GrowSpeed";"2002-03-21 00:00:00";301.0;203.0
176;"GrowSpeed";"2002-06-19 00:00:00";189.0;185.0
177;"GrowSpeed";"2002-09-17 00:00:00";213.0;148.0
178;"GrowSpeed";"2002-12-16 00:00:00";91.0;76.0
179;"GrowSpeed";"2003-03-16 00:00:00";104.0;91.0
180;"GrowSpeed";"2003-06-14 00:00:00";107.0;58.0
181;"GrowSpeed";"2003-09-12 00:00:00";68.0;39.0
182;"GrowSpeed";"2003-12-11 00:00:00";60.0;57.0
183;"GrowSpeed";"2004-03-10 00:00:00";107.0;100.0
184;"GrowSpeed";"2004-06-08 00:00:00";62.0;30.0
185;"GrowSpeed";"2004-09-06 00:00:00";29.0;26.0
186;"GrowSpeed";"2004-12-05 00:00:00";40.0;27.0
187;"GrowSpeed";"2005-03-05 00:00:00";28.0;23.0
188;"GrowSpeed";"2005-06-03 00:00:00";7.0;7.0
189;"GrowSpeed";"2005-09-01 00:00:00";22.0;17.0
190;"GrowSpeed";"2005-11-30 00:00:00";10.0;6.0
191;"GrowSpeed";"2006-02-28 00:00:00";17.0;17.0
192;"GrowSpeed";"2006-05-29 00:00:00";42.0;36.0
193;"GrowSpeed";"2006-08-27 00:00:00";47.0;40.0
194;"GrowSpeed";"2006-11-25 00:00:00";70.0;69.0
195;"GrowSpeed";"2007-02-23 00:00:00";216.0;116.0
196;"GrowSpeed";"2007-05-24 00:00:00";494.0;433.0
197;"GrowSpeed";"2007-08-22 00:00:00";484.0;430.0
198;"GrowSpeed";"2007-11-20 00:00:00";411.0;328.0
199;"GrowSpeed";"2008-02-18 00:00:00";502.0;432.0
200;"GrowSpeed";"2008-05-18 00:00:00";306.0;87.0
201;"GrowSpeed";"2008-08-16 00:00:00";94.0;90.0
202;"GrowSpeed";"2008-11-14 00:00:00";51.0;49.0
203;"GrowSpeed";"2009-02-12 00:00:00";116.0;104.0
204;"GrowSpeed";"2009-05-13 00:00:00";154.0;135.0
205;"GrowSpeed";"2009-08-11 00:00:00";209.0;75.0
206;"GrowSpeed";"2009-11-09 00:00:00";250.0;243.0
207;"GrowSpeed";"2010-02-07 00:00:00";254.0;249.0
208;"GrowSpeed";"2010-05-08 00:00:00";253.0;171.0
209;"GrowSpeed";"2010-08-06 00:00:00";243.0;228.0
210;"GrowSpeed";"2010-11-04 00:00:00";377.0;347.0
211;"GrowSpeed";"2011-02-02 00:00:00";312.0;302.0
212;"GrowSpeed";"2011-05-03 00:00:00";292.0;159.0
213;"GrowSpeed";"2011-08-01 00:00:00";250.0;165.0
214;"GrowSpeed";"2011-10-30 00:00:00";159.0;148.0
215;"GrowSpeed";"2012-01-28 00:00:00";82.0;82.0
216;"GrowSpeed";"2012-04-27 00:00:00";114.0;105.0
217;"GrowSpeed";"2012-07-26 00:00:00";87.0;73.0
218;"GrowSpeed";"2012-10-24 00:00:00";75.0;45.0
219;"GrowSpeed";"2013-01-22 00:00:00";91.0;78.0
220;"GrowSpeed";"2013-04-22 00:00:00";92.0;84.0
221;"GrowSpeed";"2013-07-21 00:00:00";71.0;64.0
222;"GrowSpeed";"2013-10-19 00:00:00";94.0;45.0
223;"GrowSpeed";"2014-01-17 00:00:00";78.0;69.0
224;"GrowSpeed";"2014-04-17 00:00:00";103.0;69.0
225;"GrowSpeed";"2014-07-16 00:00:00";94.0;83.0
226;"GrowSpeed";"2014-10-14 00:00:00";168.0;127.0
227;"GrowSpeed";"2015-01-12 00:00:00";199.0;188.0
228;"GrowSpeed";"2015-04-12 00:00:00";456.0;374.0
229;"GrowSpeed";"2015-07-11 00:00:00";343.0;254.0
230;"GrowSpeed";"2015-10-09 00:00:00";309.0;295.0
231;"GrowSpeed";"2016-01-07 00:00:00";369.0;230.0
232;"GrowSpeed";"2016-04-06 00:00:00";368.0;269.0
233;"GrowSpeed";"2016-07-05 00:00:00";350.0;271.0
234;"GrowSpeed";"2016-10-03 00:00:00";368.0;330.0
235;"GrowSpeed";"2017-01-01 00:00:00";419.0;272.0
236;"GrowSpeed";"2017-04-01 00:00:00";492.0;260.0
237;"GrowSpeed";"2017-06-30 00:00:00";472.0;396.0
238;"GrowSpeed";"2017-09-28 00:00:00";511.0;459.0
239;"GrowSpeed";"2017-12-27 00:00:00";504.0;467.0
240;"GrowSpeed";"2018-03-27 00:00:00";469.0;409.0
241;"GrowSpeed";"2018-06-25 00:00:00";352.0;298.0
242;"GrowSpeed";"2018-09-23 00:00:00";284.0;174.0
243;"GrowSpeed";"2018-12-22 00:00:00";252.0;157.0
244;"GrowSpeed";"2019-03-22 00:00:00";401.0;348.0
